Date,Department,Revenue,COGS,Operating_Expenses,Marketing_Spend,R&D_Spend,Headcount,New_Customers,Customer_Churn,Average_Deal_Size
2024-01-01,Software,1250000,437500,312500,125000,187500,45,85,12,14705.88
2024-01-01,Hardware,875000,481250,218750,87500,131250,28,42,9,20833.33
2024-01-01,Services,625000,250000,218750,62500,37500,32,118,25,5296.61
2024-02-01,Software,1287500,450625,321875,128750,193125,46,88,14,14630.68
2024-02-01,Hardware,918750,505312.5,229687.5,91875,137812.5,28,45,7,20416.67
2024-02-01,Services,650000,260000,227500,65000,39000,33,125,28,5200.00
2024-03-01,Software,1326125,464143.75,331531.25,132612.5,198918.75,47,92,13,14414.40
2024-03-01,Hardware,982650,540457.5,245662.5,98265,147397.5,30,48,8,20471.88
2024-03-01,Services,682500,273000,238875,68250,40950,35,135,30,5055.56
2024-04-01,Software,1392431.25,487350.94,348107.81,139243.13,208864.69,48,97,15,14354.96
2024-04-01,Hardware,1061460,583803,265365,106146,159219,32,52,6,20412.69
2024-04-01,Services,730275,292110,255596.25,73027.5,43816.5,37,142,32,5143.49
2024-05-01,Software,1448128.5,506844.98,362032.13,144812.85,217219.28,50,102,18,14197.34
2024-05-01,Hardware,1136060.2,624833.11,284015.05,113606.02,170409.03,33,56,9,20286.79
2024-05-01,Services,759486,303794.4,265820.1,75948.6,45569.16,38,149,35,5097.22
2024-06-01,Software,1505053.64,526768.77,376263.41,150505.36,225758.05,52,107,16,14065.92
2024-06-01,Hardware,1181502.61,649826.43,295375.65,118150.26,177225.39,35,59,10,20025.47
2024-06-01,Services,787668.01,315067.2,275683.8,78766.8,47260.08,40,157,37,5017.63
2024-07-01,Software,1505053.64,526768.77,376263.41,150505.36,225758.05,54,110,19,13682.31
2024-07-01,Hardware,1228762.71,675819.49,307190.68,122876.27,184314.41,36,62,12,19815.53
2024-07-01,Services,779791.33,311916.53,272926.97,77979.13,46787.48,41,152,40,5130.21
2024-08-01,Software,1565255.79,547839.53,391313.95,156525.58,234788.37,55,115,21,13610.92
2024-08-01,Hardware,1290200.85,709610.47,322550.21,129020.08,193530.13,37,65,8,19849.24
2024-08-01,Services,810982.98,324393.19,283844.04,81098.3,48658.98,42,160,35,5068.64
2024-09-01,Software,1627866.02,569753.11,406966.51,162786.6,244179.9,56,120,15,13565.55
2024-09-01,Hardware,1354710.89,745090.99,338677.72,135471.09,203206.63,38,69,11,19633.49
2024-09-01,Services,843422.3,337368.92,295197.81,84342.23,50605.34,43,168,32,5020.37
2024-10-01,Software,1676702,586845.7,419175.5,167670.2,251505.3,57,124,18,13522.60
2024-10-01,Hardware,1422446.43,782345.54,355611.61,142244.64,213366.96,39,73,9,19485.57
2024-10-01,Services,877159.19,350863.68,307005.72,87715.92,52629.55,44,176,29,4983.29
2024-11-01,Software,1760537.1,616187.98,440134.28,176053.71,264080.56,58,129,22,13648.35
2024-11-01,Hardware,1493568.76,821462.81,373392.19,149356.88,224035.31,40,77,13,19396.99
2024-11-01,Services,912245.56,364898.22,319285.95,91224.56,54734.73,45,183,33,4985.50
2024-12-01,Software,1848563.96,646997.38,462140.99,184856.4,277284.59,60,135,17,13693.07
2024-12-01,Hardware,1568247.19,862535.96,392061.8,156824.72,235237.08,42,81,10,19361.08
2024-12-01,Services,958857.83,383543.13,335600.24,95885.78,57531.47,47,191,30,5020.72
