2024,,,,,,,,,,,
Quarter 1,,,,,,,,,,,
Month,Department, Revenue , COGS , Operating_Expenses , Marketing_Spend , R&D_Spend ,Headcount,New_Customers,Customer_Churn,Average_Deal_Size,Total_revenue
Jan,Software," $ 1,250,000.00 "," $ 437,500.00 "," $ 312,500.00 "," $ 125,000.00 "," $ 187,500.00 ",45,85,12,14705.88," $ 8,597,525.00 "
Jan,Services," $ 625,000.00 "," $ 250,000.00 "," $ 218,750.00 "," $ 62,500.00 "," $ 37,500.00 ",32,118,25,5296.61,
Jan,Hardware," $ 875,000.00 "," $ 481,250.00 "," $ 218,750.00 "," $ 87,500.00 "," $ 131,250.00 ",28,42,9,20833.33,
Feb,Software," $ 1,287,500.00 "," $ 450,625.00 "," $ 321,875.00 "," $ 128,750.00 "," $ 193,125.00 ",46,88,14,14630.68,
Feb,Hardware," $ 918,750.00 "," $ 505,312.50 "," $ 229,687.50 "," $ 91,875.00 "," $ 137,812.50 ",28,45,7,20416.67,
Feb,Services," $ 650,000.00 "," $ 260,000.00 "," $ 227,500.00 "," $ 65,000.00 "," $ 39,000.00 ",33,125,28,5200,
Mar,Services," $ 682,500.00 "," $ 273,000.00 "," $ 238,875.00 "," $ 68,250.00 "," $ 40,950.00 ",35,135,30,5055.56,
Mar,Hardware," $ 982,650.00 "," $ 540,457.50 "," $ 245,662.50 "," $ 98,265.00 "," $ 147,397.50 ",30,48,8,20471.88,
Mar,Software," $ 1,326,125.00 "," $ 464,143.75 "," $ 331,531.25 "," $ 132,612.50 "," $ 198,918.75 ",47,92,13,14414.4,
,,,,,,,,,,Running total," $ 8,597,525.00 "
Quarter 2,,,,,,,,,,,
Month,Department, Revenue , COGS , Operating_Expenses , Marketing_Spend , R&D_Spend ,Headcount,New_Customers,Customer_Churn,Average_Deal_Size,Total_revenue
April,Hardware," $ 1,061,460.00 "," $ 583,803.00 "," $ 265,365.00 "," $ 106,146.00 "," $ 159,219.00 ",32,52,6,20412.69," $ 10,002,065.21 "
April,Software," $ 1,392,431.25 "," $ 487,350.94 "," $ 348,107.81 "," $ 139,243.13 "," $ 208,864.69 ",48,97,15,14354.96,
April,Services," $ 730,275.00 "," $ 292,110.00 "," $ 255,596.25 "," $ 73,027.50 "," $ 43,816.50 ",37,142,32,5143.49,
May,Services," $ 759,486.00 "," $ 303,794.40 "," $ 265,820.10 "," $ 75,948.60 "," $ 45,569.16 ",38,149,35,5097.22,
May,Hardware," $ 1,136,060.20 "," $ 624,833.11 "," $ 284,015.05 "," $ 113,606.02 "," $ 170,409.03 ",33,56,9,20286.79,
May,Software," $ 1,448,128.50 "," $ 506,844.98 "," $ 362,032.13 "," $ 144,812.85 "," $ 217,219.28 ",50,102,18,14197.34,
June,Software," $ 1,505,053.64 "," $ 526,768.77 "," $ 376,263.41 "," $ 150,505.36 "," $ 225,758.05 ",52,107,16,14065.92,
June,Services," $ 787,668.01 "," $ 315,067.20 "," $ 275,683.80 "," $ 78,766.80 "," $ 47,260.08 ",40,157,37,5017.63,
June,Hardware," $ 1,181,502.61 "," $ 649,826.43 "," $ 295,375.65 "," $ 118,150.26 "," $ 177,225.39 ",35,59,10,20025.47,
,,,,,,,,,,Running total," $ 18,599,590.21 "
Quarter 3,,,,,,,,,,,
Month,Department, Revenue , COGS , Operating_Expenses , Marketing_Spend , R&D_Spend ,Headcount,New_Customers,Customer_Churn,Average_Deal_Size,Total_revenue
July,Hardware," $ 1,228,762.71 "," $ 675,819.49 "," $ 307,190.68 "," $ 122,876.27 "," $ 184,314.41 ",36,62,12,19815.53," $ 11,006,046.51 "
July,Services," $ 779,791.33 "," $ 311,916.53 "," $ 272,926.97 "," $ 77,979.13 "," $ 46,787.48 ",41,152,40,5130.21,
July,Software," $ 1,505,053.64 "," $ 526,768.77 "," $ 376,263.41 "," $ 150,505.36 "," $ 225,758.05 ",54,110,19,13682.31,
Aug,Services," $ 810,982.98 "," $ 324,393.19 "," $ 283,844.04 "," $ 81,098.30 "," $ 48,658.98 ",42,160,35,5068.64,
Aug,Hardware," $ 1,290,200.85 "," $ 709,610.47 "," $ 322,550.21 "," $ 129,020.08 "," $ 193,530.13 ",37,65,8,19849.24,
Aug,Software," $ 1,565,255.79 "," $ 547,839.53 "," $ 391,313.95 "," $ 156,525.58 "," $ 234,788.37 ",55,115,21,13610.92,
Sept,Software," $ 1,627,866.02 "," $ 569,753.11 "," $ 406,966.51 "," $ 162,786.60 "," $ 244,179.90 ",56,120,15,13565.55,
Sept,Hardware," $ 1,354,710.89 "," $ 745,090.99 "," $ 338,677.72 "," $ 135,471.09 "," $ 203,206.63 ",38,69,11,19633.49,
Sept,Services," $ 843,422.30 "," $ 337,368.92 "," $ 295,197.81 "," $ 84,342.23 "," $ 50,605.34 ",43,168,32,5020.37,
,,,,,,,,,,Running total," $ 29,605,636.72 "
Quarter 4,,,,,,,,,,,
Month,Department, Revenue , COGS , Operating_Expenses , Marketing_Spend , R&D_Spend ,Headcount,New_Customers,Customer_Churn,Average_Deal_Size,Total_revenue
Oct,Hardware," $ 1,422,446.43 "," $ 782,345.54 "," $ 355,611.61 "," $ 142,244.64 "," $ 213,366.96 ",39,73,9,19485.57," $ 12,518,328.02 "
Oct,Services," $ 877,159.19 "," $ 350,863.68 "," $ 307,005.72 "," $ 87,715.92 "," $ 52,629.55 ",44,176,29,4983.29,
