Date,Department,Revenue,COGS,Operating_Expenses,Marketing_Spend,R&D_Spend,Headcount,New_Customers,Customer_Churn,Average_Deal_Size
2024-01-01,Software," $ 1,250,000.00 ",437500,312500,125000," $ 187,500.00 ",45,85,None,14705.88
2024-01-01,Hardware," $ 875,000.00 ",481250,218750,87500," $ 131,250.00 ",28,42,,20833.33
2024-01-01,Services," $ 625,000.00 ",two hundred fifty thousand,None,62500," $ 37,500.00 ",32,118,,5296.61
2024-02-01,Software," $ 1,287,500.00 ",450625,None,128750," $ 193,125.00 ",46,None,14,14630.68
2024-02-01,Hardware," $ 918,750.00 ",505312.5,None,91875," $ 137,812.50 ",28,NaN,7,20416.67
2024-02-01,Services," $ 650,000.00 ",two hundred sixy thousand,,65000," $ 39,000.00 ",33,,28,NaN
2024-03-01,Software," $ 1,326,125.00 ",464143.75,NaN,132612.5," $ 198,918.75 ",47,,13,14414.4
2024-03-01,Hardware," $ 982,650.00 "," $ 540,457.50 ",,98265," $ 147,397.50 ",30,48,8,20471.88
2024-03-01,Services," $ 682,500.00 "," $ 273,000.00 "," $ 238,875.00 ",68250," $ 40,950.00 ",35,135,None,5055.56
2024-04-01,Software," $ 1,392,431.25 "," $ 487,350.94 "," $ 348,107.81 ",139243.13," $ 208,864.69 ",48,97,NaN,14354.96
2024-04-01,Hardware," $ 1,061,460.00 "," $ 583,803.00 ",265365,106146," $ 159,219.00 ",32,52,,20412.69
2024-04-01,Services," $ 730,275.00 "," $ 292,110.00 ",255596.25,73027.5," $ 43,816.50 ",37,142,,5143.49
2024-05-01,Software," $ 1,448,128.50 "," $ 506,844.98 "," $ 362,032.13 ",144812.85," $ 217,219.28 ",50,102,18,14197.34
2024-05-01,Hardware," $ 1,136,060.20 "," $ 624,833.11 "," $ 284,015.05 ",113606.02," $ 170,409.03 ",33,None,9,20286.79
2024-05-01,Services,759486," $ 303,794.40 ",,75948.6," $ 45,569.16 ",38,NaN,35,5097.22
2024-06-01,Software,1505053.64," $ 526,768.77 ",WIP,150505.36," $ 225,758.05 ",52,NaN,16,14065.92
2024-06-01,Hardware,1181502.61,649826.43,,118150.26," $ 177,225.39 ",35,59,10,20025.47
2024-06-01,Services,787668.01,315067.2,NaN,78766.8," $ 47,260.08 ",40,157,37,5017.63
2024-07-01,Software,1505053.64,526768.77,NaN,150505.36," $ 225,758.05 ",54,,19,None
2024-07-01,Hardware,1228762.71,675819.49,NaN,122876.27," $ 184,314.41 ",36,,12,19815.53
2024-07-01,Services,779791.33,311916.53," $ 272,926.97 ",77979.13," $ 46,787.48 ",41,152,40,5130.21
2024-08-01,Software,1565255.79,547839.53," $ 391,313.95 ",156525.58," $ 234,788.37 ",55,115,21,13610.92
2024-08-01,Hardware,1290200.85,709610.47,,129020.08," $ 193,530.13 ",37,None,NaN,19849.24
2024-08-01,Services,810982.98,324393.19,NaN,81098.3," $ 48,658.98 ",42,,NaN,5068.64
2024-09-01,Software,1627866.02,569753.11,NaN,162786.6," $ 244,179.90 ",56,,NaN,13565.55
2024-09-01,Hardware,1354710.89,745090.99,None,135471.09," $ 203,206.63 ",38,69,,19633.49
2024-09-01,Services,843422.3,337368.92,WIP,84342.23," $ 50,605.34 ",43,168,32,5020.37
2024-10-01,Software,1676702,586845.7," $ 419,175.50 ",167670.2," $ 251,505.30 ",57,124,18,
2024-10-01,Hardware,1422446.43,782345.54,,142244.64," $ 213,366.96 ",39,73,9,19485.57
2024-10-01,Services,877159.19,350863.68," $ 307,005.72 ",87715.92," $ 52,629.55 ",44,176,29,4983.29
2024-11-01,Software,NaN,616187.98,440134.28,176053.71," $ 264,080.56 ",58,129,22,13648.35
2024-11-01,Hardware,1493568.76,,373392.19,TBA," $ 224,035.31 ",EMAIL THEM,77,13,19396.99
2024-11-01,Services,912245.56,364898.22,319285.95,91224.56, - ,45,183,33,-
2024-12-01,Software,1848563.96,NaN,WIP,184856.4," $ 277,284.59 ",DEC,135,WTF,13693.07
2024-12-01,Hardware,None,,392061.8,,,dec,DEC,10,FALSE
2024-12-01,Services,None,383543.13,2024-12-29,95885.78, - ,Dec,DEC,30,FALSE
