num_tiktoken_tokens,num_gpt_4_tokens,num_sonnet_tokens
316,323,364
95,102,115
267,274,321
579,586,664
447,454,525
207,214,253
109,116,120
448,455,507
457,464,509
64,71,78
120,127,136
248,255,290
359,366,408
92,99,114
611,618,708
57,64,77
473,480,554
524,531,593
291,298,345
50,57,65
102,109,127
450,457,515
344,351,381
256,263,291
457,464,532
57,64,66
187,194,223
467,474,528
64,71,78
116,123,132
101,108,127
171,178,190
520,527,585
483,490,546
272,279,325
454,461,520
498,505,561
259,266,290
389,396,437
407,414,465
482,489,543
149,156,179
64,71,78
252,259,287
474,481,538
122,129,149
415,422,457
569,576,644
121,128,138
93,100,117
366,373,446
295,302,336
159,166,185
410,417,464
388,395,445
151,158,178
115,122,129
138,145,161
114,121,134
247,254,293
57,64,77
443,450,492
392,399,439
258,265,278
613,620,692
419,426,480
361,368,393
479,486,555
131,138,151
103,110,119
496,503,568
574,581,632
479,486,544
457,464,525
64,71,78
632,639,740
437,444,521
258,265,305
367,374,414
320,327,366
188,195,227
573,580,637
379,386,429
430,437,495
58,65,69
459,466,532
186,193,208
195,202,230
473,480,547
143,150,167
483,490,556
481,488,538
459,466,508
297,304,334
390,397,420
449,456,491
265,272,302
171,178,205
130,137,163
443,450,499
931,938,1059
672,679,775
627,634,692
882,889,977
682,689,761
892,899,1004
577,584,641
808,815,914
1175,1182,1310
832,839,947
1098,1105,1244
957,964,1074
1121,1128,1258
1025,1032,1173
975,982,1085
926,933,1037
789,796,903
892,899,1006
854,861,978
886,893,1021
685,692,770
881,888,969
764,771,854
813,820,917
1036,1043,1179
698,705,808
779,786,887
1043,1050,1172
862,869,987
913,920,1050
809,816,905
821,828,927
583,590,659
1087,1094,1241
616,623,710
1121,1128,1245
1037,1044,1156
833,840,940
1002,1009,1148
721,728,784
839,846,946
1045,1052,1184
1056,1063,1195
797,804,913
1158,1165,1282
985,992,1111
642,649,717
712,719,809
594,601,666
587,594,641
747,754,840
741,748,825
968,975,1053
644,651,732
646,653,712
1081,1088,1228
622,629,706
1065,1072,1230
871,878,1001
1067,1074,1227
716,723,841
808,815,885
587,594,680
955,962,1093
993,1000,1138
523,530,580
885,892,1011
532,539,611
873,880,953
995,1002,1136
798,805,894
1017,1024,1165
909,916,1033
681,688,764
811,818,898
1006,1013,1174
1030,1037,1177
980,987,1121
913,920,1010
800,807,915
820,827,943
704,711,794
992,999,1151
1078,1085,1232
1095,1102,1244
938,945,1078
781,788,898
745,752,870
795,802,871
1087,1094,1233
764,771,874
966,973,1066
1051,1058,1175
985,992,1108
1134,1141,1298
820,827,941
699,706,786
992,999,1134
751,758,851
612,619,687
1493,1500,1638
1423,1430,1606
1215,1222,1360
1625,1632,1863
1622,1629,1818
1209,1216,1383
1282,1289,1448
1227,1234,1369
1471,1478,1667
1355,1362,1553
1559,1566,1770
1129,1136,1268
1530,1537,1722
1455,1462,1664
1329,1336,1506
1309,1316,1449
1443,1450,1629
1169,1176,1332
1328,1335,1453
1406,1413,1582
1566,1573,1802
1475,1482,1653
1405,1412,1571
1541,1548,1737
1542,1549,1754
1497,1504,1655
1142,1149,1305
1525,1532,1696
1381,1388,1525
1368,1375,1517
1167,1174,1339
1363,1370,1554
1352,1359,1515
1238,1245,1381
1172,1179,1298
1429,1436,1619
1572,1579,1792
1351,1358,1559
1587,1594,1791
1607,1614,1842
1485,1492,1707
1584,1591,1794
1249,1256,1386
1588,1595,1773
1618,1625,1826
1185,1192,1325
1448,1455,1614
1387,1394,1586
1245,1252,1425
1461,1468,1657
1486,1493,1662
1602,1609,1812
1163,1170,1289
1484,1491,1638
1078,1085,1198
1400,1407,1574
1233,1240,1374
1341,1348,1527
1299,1306,1470
1143,1150,1289
1378,1385,1560
1181,1188,1355
1573,1580,1781
1532,1539,1706
1569,1576,1766
1264,1271,1417
1618,1625,1822
1165,1172,1336
1278,1285,1441
1208,1215,1330
1348,1355,1521
1479,1486,1647
1131,1138,1286
1445,1452,1613
1673,1680,1908
1366,1373,1549
1540,1547,1706
1168,1175,1290
1296,1303,1466
1458,1465,1615
1505,1512,1661
1165,1172,1349
1622,1629,1815
1044,1051,1216
1504,1511,1706
1559,1566,1738
1274,1281,1428
1416,1423,1594
1200,1207,1364
1415,1422,1608
1371,1378,1545
1368,1375,1586
1244,1251,1413
1112,1119,1291
1150,1157,1288
1306,1313,1480
1639,1646,1858
1338,1345,1500
1376,1383,1583
1304,1311,1444
2164,2171,2431
1798,1805,2064
1841,1848,2081
1943,1950,2189
1801,1808,2029
1895,1902,2124
1922,1929,2163
1647,1654,1884
2137,2144,2356
2132,2139,2397
1911,1918,2146
2288,2295,2571
1961,1968,2254
1799,1806,1998
1726,1733,1940
1906,1913,2105
2041,2048,2330
1973,1980,2183
1733,1740,1971
2069,2076,2343
2158,2165,2429
2004,2011,2261
1978,1985,2194
1617,1624,1785
1843,1850,2113
1750,1757,1973
2072,2079,2343
1985,1992,2237
1658,1665,1829
1662,1669,1864
1853,1860,2080
2077,2084,2350
2098,2105,2392
1728,1735,1950
1835,1842,2074
2151,2158,2353
1959,1966,2172
2145,2152,2385
1701,1708,1932
1621,1628,1875
2139,2146,2429
2002,2009,2270
1823,1830,2019
1841,1848,2061
2001,2008,2237
1937,1944,2172
2115,2122,2439
1822,1829,2066
1994,2001,2258
2113,2120,2355
1743,1750,1965
1966,1973,2250
1722,1729,1941
1963,1970,2235
2046,2053,2334
2122,2129,2363
1851,1858,2082
1904,1911,2170
1745,1752,1927
1748,1755,1965
1824,1831,2034
2119,2126,2380
1616,1623,1833
1905,1912,2170
2034,2041,2302
1841,1848,2094
2017,2024,2270
2055,2062,2279
1515,1522,1673
1905,1912,2095
1752,1759,2001
1717,1724,1967
1878,1885,2132
2039,2046,2296
1690,1697,1954
1983,1990,2227
1880,1887,2118
1788,1795,2010
1955,1962,2197
2170,2177,2448
1725,1732,1913
1697,1704,1909
2040,2047,2305
1695,1702,1871
1989,1996,2269
1809,1816,2078
1650,1657,1846
1700,1707,1947
1990,1997,2243
2096,2103,2394
1905,1912,2147
2144,2151,2446
1659,1666,1877
1826,1833,2047
1689,1696,1914
2059,2066,2309
1999,2006,2254
1950,1957,2199
1776,1783,1997
1768,1775,1942
2336,2343,2647
2299,2306,2582
2340,2347,2678
2639,2646,2958
2173,2180,2425
2079,2086,2342
2356,2363,2705
2139,2146,2396
2678,2685,2987
2504,2511,2804
2871,2878,3279
2156,2163,2412
2287,2294,2561
2567,2574,2908
2644,2651,3017
2392,2399,2690
2195,2202,2425
2353,2360,2665
2148,2155,2439
2188,2195,2470
2074,2081,2302
2204,2211,2499
2527,2534,2774
2530,2537,2846
2713,2720,3073
2718,2725,3084
2524,2531,2821
2501,2508,2756
2005,2012,2236
2522,2529,2822
2147,2154,2459
2454,2461,2807
2189,2196,2529
2337,2344,2571
2557,2564,2900
2658,2665,3009
2165,2172,2507
2667,2674,3020
2385,2392,2698
2805,2812,3188
2231,2238,2525
2584,2591,2896
2127,2134,2376
2419,2426,2738
2338,2345,2597
2782,2789,3146
2641,2648,2996
2546,2553,2847
2456,2463,2772
2105,2112,2375
2620,2627,2942
2498,2505,2868
2256,2263,2503
2549,2556,2901
2486,2493,2818
2255,2262,2579
2127,2134,2399
2301,2308,2576
2343,2350,2642
2517,2524,2859
2430,2437,2709
2244,2251,2515
2310,2317,2613
2421,2428,2725
2268,2275,2510
2128,2135,2362
2637,2644,3030
2516,2523,2841
2290,2297,2547
2425,2432,2701
2611,2618,2907
2676,2683,3049
2379,2386,2718
2512,2519,2802
2437,2444,2752
2607,2614,2904
2253,2260,2553
2456,2463,2807
2434,2441,2745
2570,2577,2890
2294,2301,2569
2676,2683,3001
2548,2555,2922
2394,2401,2653
2681,2688,2998
2573,2580,2916
2533,2540,2812
2246,2253,2524
2617,2624,2964
2408,2415,2720
2363,2370,2687
2235,2242,2520
2435,2442,2726
2563,2570,2888
2294,2301,2574
2119,2126,2386
2458,2465,2740
2273,2280,2557
2400,2407,2737
2443,2450,2730
2720,2727,3072
3007,3014,3376
2964,2971,3330
3136,3143,3530
2998,3005,3342
2816,2823,3192
2702,2709,2990
3232,3239,3657
3038,3045,3460
3172,3179,3569
3403,3410,3851
2995,3002,3379
3096,3103,3484
3058,3065,3411
2887,2894,3260
3030,3037,3400
2938,2945,3335
2828,2835,3222
3194,3201,3582
3090,3097,3498
3083,3090,3427
2771,2778,3105
2820,2827,3183
3048,3055,3471
3015,3022,3371
3165,3172,3508
3030,3037,3408
2672,2679,3016
2899,2906,3264
2735,2742,3065
2959,2966,3309
3087,3094,3510
2998,3005,3427
3224,3231,3622
3176,3183,3629
2855,2862,3237
3250,3257,3654
2647,2654,2973
2968,2975,3394
3075,3082,3445
3133,3140,3519
2813,2820,3183
2877,2884,3268
3187,3194,3638
2966,2973,3295
2933,2940,3299
2764,2771,3090
2999,3006,3369
2983,2990,3378
3201,3208,3617
3054,3061,3446
2634,2641,2947
3277,3284,3709
2967,2974,3353
2640,2647,2930
2757,2764,3067
2821,2828,3190
3152,3159,3533
2802,2809,3132
2984,2991,3343
2812,2819,3136
2851,2858,3208
2781,2788,3107
2819,2826,3157
2621,2628,3006
2655,2662,2974
3103,3110,3463
2932,2939,3239
2610,2617,2944
3192,3199,3566
2817,2824,3155
2711,2718,3025
2940,2947,3316
3121,3128,3494
3000,3007,3348
2787,2794,3139
2831,2838,3147
3163,3170,3536
3018,3025,3357
2783,2790,3166
3039,3046,3427
3255,3262,3676
3017,3024,3381
3023,3030,3424
3237,3244,3669
3013,3020,3488
2825,2832,3175
2672,2679,3020
2839,2846,3174
3355,3362,3765
2680,2687,3030
2933,2940,3251
2820,2827,3164
2925,2932,3284
3289,3296,3690
2725,2732,3066
3137,3144,3582
3046,3053,3498
2949,2956,3277
3224,3231,3643
3141,3148,3497
3408,3415,3849
3315,3322,3701
3486,3493,4000
3340,3347,3734
3395,3402,3805
3412,3419,3874
3657,3664,4096
3425,3432,3891
3474,3481,3850
3511,3518,3978
3454,3461,3893
3328,3335,3724
3428,3435,3784
3309,3316,3652
3550,3557,3929
3420,3427,3865
3609,3616,4045
3431,3438,3865
3463,3470,3874
3690,3697,4167
3470,3477,3922
3330,3337,3792
3809,3816,4268
3419,3426,3847
3330,3337,3782
3460,3467,3880
3357,3364,3803
3676,3683,4194
3374,3381,3807
3743,3750,4252
3803,3810,4230
3267,3274,3688
3460,3467,3863
3270,3277,3658
3423,3430,3805
3325,3332,3716
3715,3722,4164
3452,3459,3906
3796,3803,4274
3232,3239,3644
3636,3643,4079
3664,3671,4106
3666,3673,4141
3373,3380,3834
3549,3556,3994
3483,3490,3959
3485,3492,3913
3342,3349,3772
3531,3538,3943
3343,3350,3738
3314,3321,3741
3435,3442,3860
3660,3667,4109
3715,3722,4193
3221,3228,3650
3535,3542,4015
3798,3805,4312
3590,3597,4053
3218,3225,3634
3750,3757,4275
3717,3724,4236
3259,3266,3629
3697,3704,4145
3122,3129,3496
3308,3315,3678
3511,3518,3945
3676,3683,4099
3636,3643,4122
3677,3684,4138
3407,3414,3825
3511,3518,3995
3327,3334,3722
3676,3683,4147
3178,3185,3516
3320,3327,3765
3333,3340,3745
3713,3720,4169
3324,3331,3767
3159,3166,3589
3733,3740,4209
3475,3482,3943
3466,3473,3939
3247,3254,3715
3842,3849,4303
3456,3463,3860
3454,3461,3903
3215,3222,3592
3615,3622,4104
3374,3381,3801
3805,3812,4346
3593,3600,4076
3405,3412,3899
3662,3669,4088
3516,3523,3960
3277,3284,3704
3558,3565,3966
3679,3686,4157
3570,3577,4048
3456,3463,3858
4196,4203,4686
3889,3896,4400
3888,3895,4403
4246,4253,4841
4061,4068,4553
4103,4110,4609
3786,3793,4348
4225,4232,4785
4162,4169,4611
4014,4021,4591
3978,3985,4508
4004,4011,4493
4175,4182,4704
4312,4319,4845
4248,4255,4741
4075,4082,4592
3945,3952,4478
4261,4268,4790
3694,3701,4081
3980,3987,4434
3906,3913,4428
4212,4219,4716
4212,4219,4715
4521,4528,5081
4146,4153,4650
4276,4283,4778
3966,3973,4429
4186,4193,4676
4079,4086,4627
4280,4287,4815
3780,3787,4303
3885,3892,4366
3953,3960,4469
3826,3833,4274
4276,4283,4749
4041,4048,4547
4132,4139,4611
4092,4099,4619
4047,4054,4557
4179,4186,4656
4233,4240,4753
4309,4316,4929
3940,3947,4400
3927,3934,4358
4409,4416,4942
4085,4092,4593
4170,4177,4664
4119,4126,4658
3945,3952,4424
3991,3998,4482
4183,4190,4707
3818,3825,4258
3802,3809,4250
4275,4282,4800
3780,3787,4234
4306,4313,4866
3903,3910,4397
3936,3943,4435
3891,3898,4424
4009,4016,4521
4008,4015,4479
4101,4108,4587
3891,3898,4397
3972,3979,4505
4160,4167,4755
4083,4090,4607
3837,3844,4312
4243,4250,4765
4127,4134,4597
3973,3980,4398
4243,4250,4821
3952,3959,4407
3832,3839,4246
3918,3925,4454
3699,3706,4127
3950,3957,4431
3752,3759,4220
4066,4073,4547
4187,4194,4681
3855,3862,4356
4152,4159,4645
4236,4243,4809
4236,4243,4712
4172,4179,4686
3971,3978,4465
3609,3616,4032
3886,3893,4387
4047,4054,4521
3935,3942,4460
3772,3779,4227
4114,4121,4625
4111,4118,4622
3881,3888,4325
4331,4338,4846
3843,3850,4287
3879,3886,4348
3914,3921,4407
4189,4196,4710
3954,3961,4522
4107,4114,4612
4731,4738,5269
4309,4316,4872
4637,4644,5163
4816,4823,5427
4548,4555,5184
4724,4731,5294
4636,4643,5177
4319,4326,4843
4719,4726,5299
4302,4309,4847
4291,4298,4846
4574,4581,5159
4624,4631,5207
4245,4252,4732
4670,4677,5262
4404,4411,4997
4604,4611,5202
4697,4704,5258
4642,4649,5159
4381,4388,4949
4327,4334,4820
4205,4212,4655
4525,4532,5108
4411,4418,4969
4691,4698,5295
4568,4575,5140
4647,4654,5228
4240,4247,4766
4310,4317,4831
4483,4490,4985
4778,4785,5358
4307,4314,4876
4409,4416,4959
4648,4655,5240
4295,4302,4781
4707,4714,5223
4382,4389,4881
4417,4424,4909
4398,4405,4907
4729,4736,5398
4876,4883,5502
4286,4293,4750
4453,4460,4982
4829,4836,5501
4525,4532,5025
4552,4559,5159
4282,4289,4805
4439,4446,4965
4595,4602,5176
4404,4411,4927
4316,4323,4839
4513,4520,5090
4698,4705,5274
4700,4707,5323
4127,4134,4587
4415,4422,4995
4653,4660,5244
4518,4525,5081
4494,4501,5054
4342,4349,4856
4833,4840,5448
4657,4664,5244
4511,4518,5068
4465,4472,5013
4708,4715,5263
4678,4685,5307
4699,4706,5316
4260,4267,4805
4523,4530,5106
4584,4591,5178
4440,4447,4916
4470,4477,5060
4450,4457,5005
4568,4575,5170
4774,4781,5367
4712,4719,5320
4533,4540,5133
4578,4585,5137
4751,4758,5321
4731,4738,5301
4415,4422,4918
4676,4683,5274
4632,4639,5183
4467,4474,4990
4557,4564,5096
4488,4495,5027
4559,4566,5169
4389,4396,4917
4648,4655,5244
4673,4680,5273
4370,4377,4899
4751,4758,5408
4635,4642,5204
4954,4961,5555
4367,4374,4920
4468,4475,4997
4394,4401,4918
4520,4527,5028
4703,4710,5277
4692,4699,5285
5083,5090,5714
5300,5307,6033
5057,5064,5691
5297,5304,5922
5241,5248,5790
5279,5286,5931
4734,4741,5324
5042,5049,5641
5013,5020,5633
5077,5084,5651
5443,5450,6163
5066,5073,5713
5254,5261,5892
4857,4864,5463
5161,5168,5770
4965,4972,5609
5319,5326,6028
5255,5262,5877
4889,4896,5495
4769,4776,5363
5079,5086,5724
4649,4656,5221
5604,5611,6279
5209,5216,5879
5559,5566,6296
5261,5268,5885
5302,5309,5975
5268,5275,5909
5183,5190,5803
4775,4782,5392
4874,4881,5395
5033,5040,5610
5353,5360,6031
4746,4753,5276
5055,5062,5655
5326,5333,6054
4831,4838,5338
5469,5476,6143
5276,5283,5977
4991,4998,5628
5372,5379,6119
5088,5095,5659
5123,5130,5886
5241,5248,5898
4981,4988,5613
4899,4906,5475
4962,4969,5555
4643,4650,5174
5149,5156,5846
5067,5074,5724
5259,5266,5911
5045,5052,5689
5137,5144,5796
5525,5532,6242
4952,4959,5579
5263,5270,5973
5233,5240,5919
5119,5126,5773
5054,5061,5713
5020,5027,5598
5266,5273,5948
4845,4852,5493
5124,5131,5799
5109,5116,5751
4929,4936,5526
4783,4790,5409
5028,5035,5600
4985,4992,5591
5293,5300,5969
4782,4789,5315
4937,4944,5543
5162,5169,5791
4844,4851,5431
5347,5354,6122
5192,5199,5862
5042,5049,5700
4829,4836,5405
4969,4976,5582
5647,5654,6338
4946,4953,5582
4889,4896,5526
4881,4888,5461
5363,5370,6058
4838,4845,5535
5300,5307,5935
4981,4988,5633
4951,4958,5508
5218,5225,5832
5363,5370,6075
4838,4845,5424
4956,4963,5607
4841,4848,5426
4890,4897,5523
5147,5154,5867
4995,5002,5651
5351,5358,5982
5436,5443,6086
4924,4931,5516
5098,5105,5795
5135,5142,5792
